"country","month","year","imp_gdp"
"Sweden","2012-08",2012,40.5
"Sweden","2012-09",2012,40.5
"Sweden","2012-10",2012,40.5
"Sweden","2012-11",2012,40.5
"Sweden","2012-12",2012,40.5
"Sweden","2013-01",2013,38.9
"Sweden","2013-02",2013,38.9
"Sweden","2013-03",2013,38.9
"Sweden","2013-04",2013,38.9
"Sweden","2013-05",2013,38.9
"Sweden","2013-06",2013,38.9
"Sweden","2013-07",2013,38.9
"Sweden","2013-08",2013,38.9
"Sweden","2013-09",2013,38.9
"Sweden","2013-10",2013,38.9
"Sweden","2013-11",2013,38.9
"Sweden","2013-12",2013,38.9
"Sweden","2014-01",2014,40.4
"Sweden","2014-02",2014,40.4
"Sweden","2014-03",2014,40.4
"Sweden","2014-04",2014,40.4
"Sweden","2014-05",2014,40.4
"Sweden","2014-06",2014,40.4
"Sweden","2014-07",2014,40.4
"Sweden","2014-08",2014,40.4
"Sweden","2014-09",2014,40.4
"Sweden","2014-10",2014,40.4
"Sweden","2014-11",2014,40.4
"Sweden","2014-12",2014,40.4
"Sweden","2015-01",2015,40.5
"Sweden","2015-02",2015,40.5
"Sweden","2015-03",2015,40.5
"Sweden","2015-04",2015,40.5
"Sweden","2015-05",2015,40.5
"Sweden","2015-06",2015,40.5
"Sweden","2015-07",2015,40.5
"Sweden","2015-08",2015,40.5
"Sweden","2015-09",2015,40.5
"Sweden","2015-10",2015,40.5
"Sweden","2015-11",2015,40.5
"Sweden","2015-12",2015,40.5
"Sweden","2016-01",2016,40.5
"Sweden","2016-02",2016,40.5
"Sweden","2016-03",2016,40.5
"Sweden","2016-04",2016,40.5
"Sweden","2016-05",2016,40.5
"Sweden","2016-06",2016,40.5
"Sweden","2016-07",2016,40.5
"Sweden","2016-08",2016,40.5
"Sweden","2016-09",2016,40.5
"Sweden","2016-10",2016,40.5
"Sweden","2016-11",2016,40.5
"Sweden","2016-12",2016,40.5
"Sweden","2017-01",2017,42.2
"Sweden","2017-02",2017,42.2
"Sweden","2017-03",2017,42.2
"Sweden","2017-04",2017,42.2
"Sweden","2017-05",2017,42.2
"Sweden","2017-06",2017,42.2
"Sweden","2017-07",2017,42.2
"Sweden","2017-08",2017,42.2
"Sweden","2017-09",2017,42.2
"Sweden","2017-10",2017,42.2
"Sweden","2017-11",2017,42.2
"Sweden","2017-12",2017,42.2
"Sweden","2018-01",2018,44.5
"Sweden","2018-02",2018,44.5
"Sweden","2018-03",2018,44.5
"Sweden","2018-04",2018,44.5
"Sweden","2018-05",2018,44.5
"Sweden","2018-06",2018,44.5
"Sweden","2018-07",2018,44.5
"Sweden","2018-08",2018,44.5
"Sweden","2018-09",2018,44.5
"Sweden","2018-10",2018,44.5
"Sweden","2018-11",2018,44.5
"Sweden","2018-12",2018,44.5
"Sweden","2019-01",2019,44.5
"Sweden","2019-02",2019,44.5
"Sweden","2019-03",2019,44.5
"Sweden","2019-04",2019,44.5
"Sweden","2019-05",2019,44.5
"Sweden","2019-06",2019,44.5
"Sweden","2019-07",2019,44.5
"Sweden","2019-08",2019,44.5
"Sweden","2019-09",2019,44.5
"Sweden","2019-10",2019,44.5
"Sweden","2019-11",2019,44.5
"Sweden","2019-12",2019,44.5
"Sweden","2020-01",2020,40.2
"Sweden","2020-02",2020,40.2
"Sweden","2020-03",2020,40.2
"Sweden","2020-04",2020,40.2
"Sweden","2020-05",2020,40.2
"Sweden","2020-06",2020,40.2
"Sweden","2020-07",2020,40.2
"Sweden","2020-08",2020,40.2
"Sweden","2020-09",2020,40.2
"Sweden","2020-10",2020,40.2
"Sweden","2020-11",2020,40.2
"Sweden","2020-12",2020,40.2
"Sweden","2021-01",2021,43.6
"Sweden","2021-02",2021,43.6
"Sweden","2021-03",2021,43.6
"Sweden","2021-04",2021,43.6
"Sweden","2021-05",2021,43.6
"Sweden","2021-06",2021,43.6
"Sweden","2021-07",2021,43.6
"Sweden","2021-08",2021,43.6
"Sweden","2021-09",2021,43.6
"Sweden","2021-10",2021,43.6
"Sweden","2021-11",2021,43.6
"Sweden","2021-12",2021,43.6
"Sweden","2022-01",2022,52.8
"Sweden","2022-02",2022,52.8
"Sweden","2022-03",2022,52.8
"Sweden","2022-04",2022,52.8
"Sweden","2022-05",2022,52.8
"Sweden","2022-06",2022,52.8
"Sweden","2022-07",2022,52.8
"Sweden","2022-08",2022,52.8
"Sweden","2022-09",2022,52.8
"Sweden","2022-10",2022,52.8
"Sweden","2022-11",2022,52.8
"Sweden","2022-12",2022,52.8
"Sweden","2023-01",2023,52.4
"Sweden","2023-02",2023,52.4
"Sweden","2023-03",2023,52.4
"Sweden","2023-04",2023,52.4
"Sweden","2023-05",2023,52.4
"Sweden","2023-06",2023,52.4
"Sweden","2023-07",2023,52.4
"Sweden","2023-08",2023,52.4
"Sweden","2023-09",2023,52.4
"Sweden","2023-10",2023,52.4
"Sweden","2023-11",2023,52.4
"Sweden","2023-12",2023,52.4
"Sweden","2024-01",2024,51.5
"Sweden","2024-02",2024,51.5
"Sweden","2024-03",2024,51.5
"Sweden","2024-04",2024,51.5
"Sweden","2024-05",2024,51.5
"Sweden","2024-06",2024,51.5
"Sweden","2024-07",2024,51.5
"Sweden","2024-08",2024,51.5
"Sweden","2024-09",2024,51.5
"Sweden","2024-10",2024,51.5
"Sweden","2024-11",2024,51.5
"Sweden","2024-12",2024,51.5
"Sweden","2025-01",2025,51.1
"Sweden","2025-02",2025,51.1
"Sweden","2025-03",2025,51.1
"Sweden","2025-04",2025,51.1
"Sweden","2025-05",2025,51.1
"Sweden","2025-06",2025,51.1
"Sweden","2025-07",2025,51.1
"Sweden","2025-08",2025,51.1
"Sweden","2025-09",2025,51.1
"Sweden","2025-10",2025,51.1
"Sweden","2025-11",2025,51.1
"Sweden","2025-12",2025,51.1
